Non-native Plant List,Non-native Animal List,,,,,Class B,Genus_species,Invasive_class,,,,,,,,,,
Dipsacus laciniatus,,,,,,,Nitellopsis obtusa,VTinvasives.org Plants,,,,,,,,,,
Echinacea purpurea,,,,,,,Pastinaca sativa,VTinvasives.org Plants,,,,,,,,,,
Elaeagnus angustifolia,,,,,,,Paulownia tomentosa,VTinvasives.org Plants,,,,,,,,,,
Elaeagnus umbellata,,,,,,,Persicaria perfoliata,VTinvasives.org Plants,,,,,,,,,,
Eleusine indica,,,,,,,Petasites hybridus,VTinvasives.org Plants,,,,,,,,,,
Epilobium parviflorum,,,,,,,Phalaris arundinacea,VTinvasives.org Plants,,,,,,,,,,
Epipactis atrorubens,,,,,,,Populus alba,VTinvasives.org Plants,,,,,,,,,,
Eragrostis pectinacea var. miserrima,,,,,,,Robinia pseudoacacia,VTinvasives.org Plants,,,,,,,,,,
Erucastrum gallicum,,,,,,,Rosa multiflora,VTinvasives.org Plants,,,,,,,,,,
Eryginum planum,,,,,,,Sorbaria sorbifolia,VTinvasives.org Plants,,,,,,,,,,
Erysimum virgatum,,,,,,,Acer campestre,VT Flora outside NA,,,,,,,,,,
Euonymus alatus,,,,,,,Achillea filipendulina,VT Flora outside NA,,,,,,,,,,
Euonymus europaeus,,,,,,,Aesculus hippocastanum,VT Flora outside NA,,,,,,,,,,
Euonymus fortunei,,,,,,,Ailanthus altissima,VT Flora outside NA,,,,,,,,,,
Euphorbia cyparissias,,,,,,,Ajuga reptans,VT Flora outside NA,,,,,,,,,,
Euphorbia polychroma,,,,,,,Anthriscus cerefolium,VT Flora outside NA,,,,,,,,,,
Fallopia japonica (syn: Polygonum cuspidatum),,,,,,,Antirrhinum majus,VT Flora outside NA,,,,,,,,,,
Fallopia sachalinenis,,,,,,,Arabis alpina,VT Flora outside NA,,,,,,,,,,
Festuca rubra ssp. Commutata,,,,,,,Aurinia saxatilis,VT Flora outside NA,,,,,,,,,,
