"species","year","cum_species"
"Populus alba",1894,2111
"Septoria wilsonii",1894,2111
"Septoria verbascicola",1894,2111
"Eurycea bislineata",1894,2111
"Myriophyllum humile",1894,2111
"Capnoides sempervirens",1894,2111
"Festuca rubra",1894,2111
"Kabatiella borealis",1894,2111
"Septoria rhoina",1894,2111
"Septoria galeopsidis",1894,2111
"Chara zeylanica",1894,2111
"Salix ehrhartiana",1894,2111
"Boechera laevigata",1895,2202
"Potamogeton bicupulatus",1895,2202
"Carex barbarae",1895,2202
"Krigia virginica",1895,2202
"Potamogeton robbinsii",1895,2202
"Physcia tenella",1895,2202
"Vitis labrusca",1895,2202
"Bjerkandera fumosa",1895,2202
"Lapsana communis",1895,2202
"Peronospora destructor",1895,2202
"Poterium sanguisorba",1895,2202
"Andersonglossum boreale",1895,2202
"Calycanthus floridus",1895,2202
"Prunus nigra",1895,2202
"Triodanis perfoliata",1895,2202
"Epilobium brachycarpum",1895,2202
"Lathyrus latifolius",1895,2202
"Paspalum setaceum",1895,2202
"Cornularia persicae",1895,2202
"Callitriche heterophylla",1895,2202
"Puccinia anemones-virginianae",1895,2202
"Stictis radiata",1895,2202
"Berteroa incana",1895,2202
"Sericocarpus asteroides",1895,2202
"Subularia aquatica",1895,2202
"Polygala verticillata",1895,2202
"Fragaria virginiana",1895,2202
"Eragrostis pectinacea",1895,2202
"Punctularia strigosozonata",1895,2202
"Trichostema dichotomum",1895,2202
"Leccinum scabrum",1895,2202
"Carex wiegandii",1895,2202
"Myodes gapperi",1895,2202
"Ambystoma maculatum",1895,2202
"Selaginella apoda",1895,2202
"Persicaria careyi",1895,2202
"Tragopogon pratensis",1895,2202
"Bucephala albeola",1895,2202
"Peniophora cinerea",1895,2202
"Hypericum gentianoides",1895,2202
"Dryopteris pittsfordensis",1895,2202
"Crotalaria sagittalis",1895,2202
"Symphyotrichum ericoides",1895,2202
"Podosphaera pruinosa",1895,2202
"Hypericum canadense",1895,2202
"Symphyotrichum laeve",1895,2202
"Scleroderma citrinum",1895,2202
"Amaranthus blitoides",1895,2202
"Symphyotrichum racemosum",1895,2202
"Hymenochaetopsis tabacina",1895,2202
"Symphyotrichum tradescantii",1895,2202
"Bromus latiglumis",1895,2202
"Cladonia cervicornis",1895,2202
"Phaeophyscia erythrocardia",1895,2202
"Drosera intermedia",1895,2202
"Festuca saximontana",1895,2202
"Lemna minor",1895,2202
"Erysiphe macrospora",1895,2202
"Cenchrus longispinus",1895,2202
"Phaeotremella foliacea",1895,2202
"Panicum boreale",1895,2202
"Platanthera grandiflora",1895,2202
"Platanthera flava",1895,2202
"Brachyelytrum erectum",1895,2202
"Ramularia asteris",1895,2202
"Tetropium schwarzianum",1895,2202
"Baptisia tinctoria",1895,2202
"Lolium temulentum",1895,2202
"Umbilicaria vellea",1895,2202
"Aristida longespica",1895,2202
"Lepidium campestre",1895,2202
"Lobelia inflata",1895,2202
"Lobelia dortmanna",1895,2202
"Eutypella quaternata",1895,2202
"Boletus vermiculosus",1895,2202
"Gnomonia fimbriata",1895,2202
"Persicaria hydropiper",1895,2202
"Rhexia virginica",1895,2202
"Sassafras albidum",1895,2202
"Nuttallanthus canadensis",1895,2202
"Lespedeza capitata",1895,2202
"Levisticum officinale",1895,2202
"Ropalospora chlorantha",1895,2202
"Cytospora nivea",1895,2202
"Sagina decumbens",1895,2202
"Blarina brevicauda",1895,2202
"Rhodofomes cajanderi",1895,2202
"Cytospora populina",1895,2202
"Spergularia rubra",1895,2202
"Elymus riparius",1895,2202
"Gentiana linearis",1895,2202
"Ramalina pollinaria",1896,2281
"Peltigera horizontalis",1896,2281
"Suillus punctipes",1896,2281
"Leucogyrophana mollusca",1896,2281
"Cirsium discolor",1896,2281
"Metzgeria crassipilis",1896,2281
"Encalypta procera",1896,2281
"Physconia detersa",1896,2281
"Sagittaria cuneata",1896,2281
"Ranunculus repens",1896,2281
"Placynthium nigrum",1896,2281
"Leonurus cardiaca",1896,2281
"Rubus frondosus",1896,2281
"Tylopilus felleus",1896,2281
"Colias philodice",1896,2281
"Coprinellus disseminatus",1896,2281
"Prosthecium acrocystis",1896,2281
"Nostoc microscopicum",1896,2281
"Potamogeton obtusifolius",1896,2281
"Picea mariana",1896,2281
"Penstemon calycosus",1896,2281
"Conocybe antipus",1896,2281
"Stereum striatum",1896,2281
"Bidens beckii",1896,2281
"Carex annectens",1896,2281
"Thelia asprella",1896,2281
"Agaricus bitorquis",1896,2281
"Bjerkandera adusta",1896,2281
"Pellaea glabella",1896,2281
"Oxybasis glauca",1896,2281
"Taxiphyllum deplanatum",1896,2281
"Badhamia affinis",1896,2281
"Cerioporus scutellatus",1896,2281
"Torreyochloa pallida",1896,2281
"Hohenbuehelia mastrucata",1896,2281
"Hohenbuehelia serotina",1896,2281
"Phellinus pini",1896,2281
"Cystostereum murrayi",1896,2281
"Elkalyce comyntas",1896,2281
"Hohenbuehelia atrocoerulea",1896,2281
"Phaeoceros laevis",1896,2281
"Cyperus dentatus",1896,2281
"Perenniporia subacida",1896,2281
"Cytidia salicina",1896,2281
"Scorzoneroides autumnalis",1896,2281
"Hygrohypnum duriusculum",1896,2281
"Calamagrostis purpurea",1896,2281
"Sclerencoelia fascicularis",1896,2281
"Lopharia cinerascens",1896,2281
"Scytosiphon lomentaria",1896,2281
"Alternaria alternata",1896,2281
"Icteria virens",1896,2281
"Antrodia albida",1896,2281
"Lemna trisulca",1896,2281
"Hygrohypnum molle",1896,2281
"Clavaria rugosa",1896,2281
"Hymenochaetopsis corrugata",1896,2281
"Schoenoplectiella smithii",1896,2281
"Erodium cicutarium",1896,2281
"Falco peregrinus",1896,2281
"Lechea intermedia",1896,2281
"Encoelia furfuracea",1896,2281
"Brassica juncea",1896,2281
"Physalacria inflata",1896,2281
"Salix interior",1896,2281
"Hymenochaete cinnamomea",1896,2281
"Isopaches bicrenatus",1896,2281
"Camelina microcarpa",1896,2281
"Petasites frigidus",1896,2281
"Seligeria calcarea",1896,2281
"Plicaturopsis crispa",1896,2281
"Plicatura nivea",1896,2281
"Danaus plexippus",1896,2281
"Metzgeria dichotoma",1896,2281
"Plagiochila asplenioides",1896,2281
"Trametes suaveolens",1896,2281
"Boletus subtomentosus",1896,2281
"Seligeria tristichoides",1896,2281
"Platygyrium repens",1896,2281
"Stachys pilosa",1897,2402
"Pholiota cerasina",1897,2402
"Dicranum brevifolium",1897,2402
"Artomyces pyxidatus",1897,2402
"Satureja hortensis",1897,2402
"Dicranum muehlenbeckii",1897,2402
"Coprinellus micaceus",1897,2402
"Alternaria solani",1897,2402
"Russula rubra",1897,2402
"Empidonax traillii",1897,2402
"Galerina marginata",1897,2402
"Origanum vulgare",1897,2402
"Lyonia ligustrina",1897,2402
"Rhus glabra",1897,2402
"Collybia radicata",1897,2402
"Connopus acervatus",1897,2402
"Turbinellus floccosus",1897,2402
"Juncus gerardii",1897,2402
"Hohenbuehelia grisea",1897,2402
"Calypogeia trichomanis",1897,2402
"Rosa acicularis",1897,2402
"Oxyporus populinus",1897,2402
"Flammulina velutipes",1897,2402
"Clitocybe infundibuliformis",1897,2402
"Clitocybe multiceps",1897,2402
"Pholiota adiposa",1897,2402
"Phlebia tremellosa",1897,2402
"Carduus acanthoides",1897,2402
"Entoloma salmoneum",1897,2402
"Craterellus tubaeformis",1897,2402
"Phaeolus schweinitzii",1897,2402
"Zea mays",1897,2402
"Craterellus lutescens",1897,2402
"Potentilla recta",1897,2402
"Crataegus intricata",1897,2402
"Clitocybe robusta",1897,2402
"Carya glabra",1897,2402
"Xerocomus illudens",1897,2402
"Solenostoma hyalinum",1897,2402
"Leccinum versipelle",1897,2402
"Clitocybula abundans",1897,2402
"Polygala ambigua",1897,2402
"Leucoagaricus rubrotinctus",1897,2402
"Entoloma abortivum",1897,2402
"Coltricia perennis",1897,2402
"Paxillus involutus",1897,2402
"Porella platyphylloidea",1897,2402
"Trichostema brachiatum",1897,2402
"Agaricus campestris",1897,2402
"Myosotis sylvatica",1897,2402
"Agaricus sylvicola",1897,2402
"Suillus subluteus",1897,2402
"Clavulinopsis fusiformis",1897,2402
"Suillus spraguei",1897,2402
"Suillus granulatus",1897,2402
"Suillus americanus",1897,2402
"Onnia tomentosa",1897,2402
"Tricholomella constricta",1897,2402
"Tricholoma transmutans",1897,2402
"Daedaleopsis confragosa",1897,2402
"Sturnella magna",1897,2402
"Lanius excubitor",1897,2402
"Aglais milberti",1897,2402
"Cudonia circinans",1897,2402
"Cudonia lutea",1897,2402
"Cortinarius violaceus",1897,2402
"Clavariadelphus ligula",1897,2402
"Amanita phalloides",1897,2402
"Cortinarius sphaerosporus",1897,2402
"Daedalea quercina",1897,2402
"Cortinarius caperatus",1897,2402
"Tricholoma album",1897,2402
"Entoleuca mammata",1897,2402
"Clavaria stricta",1897,2402
"Cortinarius armillatus",1897,2402
"Clavaria pistillaris",1897,2402
"Mannia fragrans",1897,2402
"Clavaria fumosa",1897,2402
"Clavaria fragilis",1897,2402
"Tayloria serrata",1897,2402
"Ramaria aurea",1897,2402
"Stereum rameale",1897,2402
"Amanita caesarea",1897,2402
"Cortinarius alboviolaceus",1897,2402
"Lophocolea bidentata",1897,2402
"Anacamptodon splachnoides",1897,2402
"Lophocolea minor",1897,2402
"Russula decolorans",1897,2402
"Stereum hirsutum",1897,2402
"Lentinus arcularius",1897,2402
"Carex peckii",1897,2402
"Diaporthe dubia",1897,2402
"Inocybe umbratica",1897,2402
"Russula fragilis",1897,2402
"Picoides pubescens",1897,2402
"Russula furcata",1897,2402
"Viola palmata",1897,2402
"Fuscocephaloziopsis lunulifolia",1897,2402
"Inonotus leporinus",1897,2402
"Gloeodes pomigena",1897,2402
"Parnassia caroliniana",1897,2402
"Desmodium perplexum",1897,2402
"Scapania undulata",1897,2402
"Calocybe albella",1897,2402
"Hapalopilus rutilans",1897,2402
"Leptotrochila dehnii",1897,2402
"Phytophthora infestans",1897,2402
"Silene vulgaris",1897,2402
"Eutypa maura",1897,2402
"Pipilo erythrophthalmus",1897,2402
"Eupatorium sessilifolium",1897,2402
"Flammula alnicola",1897,2402
"Laccaria laccata",1897,2402
"Psathyrella piluliformis",1897,2402
"Coprinus squamosus",1897,2402
"Coprinus quadrifidus",1897,2402
"Linum usitatissimum",1897,2402
"Psathyrella candolleana",1897,2402
"Gymnopus confluens",1897,2402
"Rubus setosus",1897,2402
"Uvularia perfoliata",1897,2402
"Sanicula canadensis",1898,2490
"Wilsoniana portulacae",1898,2490
"Wilsoniana bliti",1898,2490
"Vanessa virginiensis",1898,2490
"Vanessa atalanta",1898,2490
"Typha glauca",1898,2490
"Albugo candida",1898,2490
"Thamnobryum alleghaniense",1898,2490
"Tettigidea lateralis",1898,2490
"Tetrix arenosa",1898,2490
"Sympetrum vicinum",1898,2490
"Sympetrum internum",1898,2490
"Strymon melinus",1898,2490
"Sphaerotheca castagnei",1898,2490
"Anemone cylindrica",1898,2490
"Antennaria plantaginifolia",1898,2490
"Silene antirrhina",1898,2490
"Arctium tomentosum",1898,2490
"Scirpus hattorianus",1898,2490
"Sanicula odorata",1898,2490
"Athyrium asplenioides",1898,2490
"Rumex longifolius",1898,2490
"Rhytidium rugosum",1898,2490
"Blephilia ciliata",1898,2490
"Blephilia hirsuta",1898,2490
"Boloria selene",1898,2490
"Quiscalus quiscula",1898,2490
"Bromus pubescens",1898,2490
"Pycnanthemum incanum",1898,2490
"Puccinia hieracii",1898,2490
"Calystegia sepium",1898,2490
"Carex alopecoidea",1898,2490
"Carex atlantica",1898,2490
"Polygonia progne",1898,2490
"Carex ormostachya",1898,2490
"Polygonia interrogationis",1898,2490
"Carex pseudocyperus",1898,2490
"Polygonia comma",1898,2490
"Castilleja coccinea",1898,2490
"Plantago uniflora",1898,2490
"Pieris rapae",1898,2490
"Physcomitrium pyriforme",1898,2490
"Phragmites australis",1898,2490
"Peronospora farinosa",1898,2490
"Penstemon digitalis",1898,2490
"Chrysops univittatus",1898,2490
"Cicindela purpurea",1898,2490
"Cicindela sexguttata",1898,2490
"Cicindela tranquebarica",1898,2490
"Panicum portoricense",1898,2490
"Panicum dichotomum",1898,2490
"Oxalis corniculata",1898,2490
"Coccyzus americanus",1898,2490
"Nymphalis antiopa",1898,2490
"Couesius plumbeus",1898,2490
"Crataegus punctata",1898,2490
"Morus rubra",1898,2490
"Mimulus ringens",1898,2490
"Cuscuta epithymum",1898,2490
"Matricaria discoidea",1898,2490
"Mannia sibirica",1898,2490
"Malcolmia maritima",1898,2490
"Lycaena hyllus",1898,2490
"Desmodium cuspidatum",1898,2490
"Dianthus barbatus",1898,2490
"Lonicera americana",1898,2490
"Liriodendron tulipifera",1898,2490
"Dicranum spurium",1898,2490
"Limenitis archippus",1898,2490
"Lestes forcipatus",1898,2490
"Ditrichum pallidum",1898,2490
"Lemna perpusilla",1898,2490
"Lejeunea lamacerina",1898,2490
"Eleocharis elliptica",1898,2490
"Enallagma ebrium",1898,2490
"Ischnura verticalis",1898,2490
"Eriophorum angustifolium",1898,2490
"Erysiphe cichoracearum",1898,2490
"Houstonia purpurea",1898,2490
"Eupatorium perfoliatum",1898,2490
"Euphorbia corollata",1898,2490
"Haplohymenium triste",1898,2490
"Gypsophila vaccaria",1898,2490
"Gymnopus semihirtipes",1898,2490
"Feltia jaculifera",1898,2490
"Geum pulchrum",1898,2490
"Fontinalis antipyretica",1898,2490
"Galium labradoricum",1898,2490
"Geocalyx graveolens",1899,2563
"Sisymbrium altissimum",1899,2563
"Artemisia vulgaris",1899,2563
"Antheraea polyphemus",1899,2563
"Cercyonis pegala",1899,2563
"Moehringia macrophylla",1899,2563
"Calypogeia neesiana",1899,2563
"Scrophularia marilandica",1899,2563
"Galium domingense",1899,2563
"Malva alcea",1899,2563
"Beta vulgaris",1899,2563
"Valeriana officinalis",1899,2563
"Asperula tinctoria",1899,2563
"Calypogeia suecica",1899,2563
"Amelanchier neglecta",1899,2563
"Rubus argutus",1899,2563
"Amelanchier intermedia",1899,2563
"Lepidozia reptans",1899,2563
"Symphyotrichum amethystinum",1899,2563
"Crataegus flabellata",1899,2563
"Ambrosia trifida",1899,2563
"Crataegus gravesii",1899,2563
"Drosera anglica",1899,2563
"Hypericum perforatum",1899,2563
"Polytrichum perigoniale",1899,2563
"Symphyotrichum puniceum",1899,2563
"Hylotelephium telephium",1899,2563
"Lejeunea cavifolia",1899,2563
"Juncus anthelatus",1899,2563
"Rubus pergratus",1899,2563
"Geothlypis philadelphia",1899,2563
"Cardamine bulbosa",1899,2563
"Taraxacum erythrospermum",1899,2563
"Hylephila phyleus",1899,2563
"Bulimnea megasoma",1899,2563
"Neoantrodia variiformis",1899,2563
"Polymnia canadensis",1899,2563
"Gleditsia triacanthos",1899,2563
"Kalmia microphylla",1899,2563
"Lophoziopsis longidens",1899,2563
"Crataegus modesta",1899,2563
"Carex foenea",1899,2563
"Ancyloxypha numitor",1899,2563
"Polygonum achoreum",1899,2563
"Carex houghtoniana",1899,2563
"Chiloscyphus pallescens",1899,2563
"Bartonia virginica",1899,2563
"Carex hystricina",1899,2563
"Scirpus expansus",1899,2563
"Rubus recurvicaulis",1899,2563
"Crataegus pringlei",1899,2563
"Crataegus pruinosa",1899,2563
"Rubus flagellaris",1899,2563
"Crataegus scabrida",1899,2563
"Passerculus sandwichensis",1899,2563
"Crataegus dodgei",1899,2563
"Polemonium reptans",1899,2563
"Lycopodium lagopus",1899,2563
"Crataegus succulenta",1899,2563
"Nabalus albus",1899,2563
"Galium tinctorium",1899,2563
"Lysimachia producta",1899,2563
"Lophozia ascendens",1899,2563
"Valeriana sitchensis",1899,2563
"Rubus vermontanus",1899,2563
"Solidago ulmifolia",1899,2563
"Physarum cinereum",1899,2563
"Crataegus brainerdii",1899,2563
"Eleocharis intermedia",1899,2563
"Chelidonium majus",1899,2563
"Tritomaria exsecta",1899,2563
"Mentha arvensis",1899,2563
"Stuckenia filiformis",1899,2563
"Encalypta streptocarpa",1900,2619
"Crataegus chrysocarpa",1900,2619
"Cornus florida",1900,2619
"Viola conjugens",1900,2619
"Mutinus caninus",1900,2619
"Calliergonella lindbergii",1900,2619
"Bombus borealis",1900,2619
"Brachythecium starkii",1900,2619
"Vicia sessiliflora",1900,2619
"Galinsoga quadriradiata",1900,2619
"Vicia sepium",1900,2619
"Dinothenarus capitatus",1900,2619
"Atriplex littoralis",1900,2619
"Rhizomnium appalachianum",1900,2619
"Arctium lappa",1900,2619
"Rhytidiadelphus squarrosus",1900,2619
"Diphasiastrum tristachyum",1900,2619
"Daphne mezereum",1900,2619
"Fagus sylvatica",1900,2619
"Scirpus pedicellatus",1900,2619
"Galium verum",1900,2619
"Philanthus solivagus",1900,2619
"Bryum capillare",1900,2619
"Xanthium chinense",1900,2619
"Scirpus peckii",1900,2619
"Bubo virginianus",1900,2619
"Dryope decrepita",1900,2619
"Pylaisia selwynii",1900,2619
"Photinia floribunda",1900,2619
"Euphorbia maculata",1900,2619
"Clinopodium acinos",1900,2619
"Vireo philadelphicus",1900,2619
"Melanoplus stupefactus",1900,2619
"Heterophyllium nemorosum",1900,2619
"Holcocephala abdominalis",1900,2619
"Hordeum vulgare",1900,2619
"Crataegus membranacea",1900,2619
"Drummondia sinensis",1900,2619
"Russula viridis",1900,2619
"Thalictrum thalictroides",1900,2619
"Elodea nuttallii",1900,2619
"Crataegus jesupii",1900,2619
"Polytrichastrum ohioense",1900,2619
"Crataegus holmesiana",1900,2619
"Symphyotrichum prenanthoides",1900,2619
"Gentiana rubricaulis",1900,2619
"Nuphar pumila",1900,2619
"Campyliadelphus chrysophyllus",1900,2619
"Bombus ternarius",1900,2619
"Cooperia onchophora",1900,2619
"Crataegus delucida",1900,2619
"Epilobium palustre",1900,2619
"Crataegus coccinioides",1900,2619
"Isoetes lacustris",1900,2619
"Isoetes tuckermanii",1900,2619
"Isopterygiopsis muelleriana",1900,2619
"Fallopia dumetorum",1901,2657
"Taxonus terminalis",1901,2657
"Carex leptonervia",1901,2657
"Ceropales bipunctata",1901,2657
"Solidago odora",1901,2657
"Taxonus rufocinctus",1901,2657
"Filipendula rubra",1901,2657
"Vermontia thoracica",1901,2657
"Acronicta retardata",1901,2657
"Hypnum fertile",1901,2657
"Amblystegium subtile",1901,2657
"Leucodon sciuroides",1901,2657
"Crataegus declivitatis",1901,2657
"Cladius pectinicornis",1901,2657
"Colinus virginianus",1901,2657
"Leucodon andrewsianus",1901,2657
"Sabulina macra",1901,2657
"Orthotrichum sordidum",1901,2657
"Desmodium rotundifolium",1901,2657
"Nysson plagiatus",1901,2657
"Dolichovespula arenaria",1901,2657
"Zonotrichia albicollis",1901,2657
"Charadrius wilsonia",1901,2657
"Eleocharis diandra",1901,2657
"Crataegus crus-galli",1901,2657
"Crataegus dilatata",1901,2657
"Crataegus submollis",1901,2657
"Acer tataricum",1901,2657
"Macremphytus testaceus",1901,2657
"Crataegus seelyana",1901,2657
"Silene dioica",1901,2657
"Rubus cubitans",1901,2657
"Carex muehlenbergii",1901,2657
"Carex merritt-fernaldii",1901,2657
"Pohlia longicollis",1901,2657
"Crataegus schuettei",1901,2657
"Ectocarpus siliculosus",1901,2657
"Bombus fervidus",1901,2657
"Rubus elegantulus",1902,2715
"Sorex fumeus",1902,2715
"Rubus permixtus",1902,2715
"Aronia arbutifolia",1902,2715
"Silene flos-cuculi",1902,2715
"Hylodesmum nudiflorum",1902,2715
"Sciaromium lescurii",1902,2715
"Calystegia pubescens",1902,2715
"Agrostemma githago",1902,2715
"Sciurus carolinensis",1902,2715
"Plantago aristata",1902,2715
"Galium sylvaticum",1902,2715
"Betula caerulea",1902,2715
"Erigone atra",1902,2715
"Linum sulcatum",1902,2715
"Lespedeza hirta",1902,2715
"Bromus secalinus",1902,2715
"Tomentypnum nitens",1902,2715
"Viola rupestris",1902,2715
"Eurybia schreberi",1902,2715
"Sanguisorba canadensis",1902,2715
"Lynx rufus",1902,2715
"Aureolaria virginica",1902,2715
"Hieracium marianum",1902,2715
"Alcea rosea",1902,2715
"Veronica chamaedrys",1902,2715
"Passer domesticus",1902,2715
"Hyphodontia alutaria",1902,2715
"Grimmia muehlenbeckii",1902,2715
"Isotria medeoloides",1902,2715
"Polygonella articulata",1902,2715
"Orthotrichum stellatum",1902,2715
"Juncus secundus",1902,2715
"Orthotrichum obtusifolium",1902,2715
"Asclepias tuberosa",1902,2715
"Carex knieskernii",1902,2715
"Mitoura gryneus",1902,2715
"Viola affinis",1902,2715
"Agrimonia eupatoria",1902,2715
"Rubus heterophyllus",1902,2715
"Mustela erminea",1902,2715
"Cryphoeca montana",1902,2715
"Convolvulus arvensis",1902,2715
"Dibaeis baeomyces",1902,2715
"Delphinium ajacis",1902,2715
"Carex echinodes",1902,2715
"Antennaria plantaginea",1902,2715
"Kali tragus",1902,2715
"Onopordum acanthium",1902,2715
"Lechea minor",1902,2715
"Cicer arietinum",1902,2715
"Sylvilagus transitionalis",1902,2715
"Psammophiliella muralis",1902,2715
"Hygroamblystegium orthocladon",1902,2715
"Teucrium canadense",1902,2715
"Mustela frenata",1902,2715
"Chenopodium berlandieri",1902,2715
"Rubus recurvans",1902,2715
"Jungermannia pumila",1903,2839
"Atrypa plena",1903,2839
"Lycaena phlaeas",1903,2839
"Grimmia pilifera",1903,2839
"Bazzania denudata",1903,2839
"Plagiothecium deplanatum",1903,2839
"Linum medium",1903,2839
"Botrychium virginianum",1903,2839
"Gyronema rotalineum",1903,2839
"Bubo scandiacus",1903,2839
"Tritomaria exsectiformis",1903,2839
"Viola macloskeyi",1903,2839
"Rafinesquina distans",1903,2839
"Crataegus edsonii",1903,2839
"Warnstorfia exannulata",1903,2839
"Setophaga palmarum",1903,2839
"Leptaena incrassata",1903,2839
"Panicum philadelphicum",1903,2839
"Panicum oligosanthes",1903,2839
"Vulpes vulpes",1903,2839
"Cephaloziella hampeana",1903,2839
"Scirpus lineatus",1903,2839
"Fontinalis sphagnifolia",1903,2839
"Certhia familiaris",1903,2839
"Platillaenus erastusi",1903,2839
"Basiliella whittingtoni",1903,2839
"Buxbaumia aphylla",1903,2839
"Heliopsis helianthoides",1903,2839
"Lingula columba",1903,2839
"Pliomerops canadensis",1903,2839
"Panaeolus papilionaceus",1903,2839
"Delphinium orientale",1903,2839
"Riccia canaliculata",1903,2839
"Frullania riparia",1903,2839
"Remopleurides canadensis",1903,2839
"Dicranodontium denudatum",1903,2839
"Podiceps grisegena",1903,2839
"Tortula truncata",1903,2839
"Podophyllum peltatum",1903,2839
"Raphistomina undulata",1903,2839
"Basilicus whittingtoni",1903,2839
"Rubus semisetosus",1903,2839
"Iris pseudacorus",1903,2839
"Silphium perfoliatum",1903,2839
"Oxalis dillenii",1903,2839
"Heterogemma capitata",1903,2839
"Mylia anomala",1903,2839
"Hibbertia valcourensis",1903,2839
"Nabalus trifoliolatus",1903,2839
"Crataegus robbinsoniana",1903,2839
"Lophospira rectistriata",1903,2839
"Thlaspi arvense",1903,2839
"Isotelus harrisi",1903,2839
"Holopea scrutator",1903,2839
"Crataegus polita",1903,2839
"Glaucomys volans",1903,2839
"Crataegus paddockiae",1903,2839
"Orthis platys",1903,2839
"Orthis acutiplicata",1903,2839
"Cyperus houghtonii",1903,2839
"Fissidens taxifolius",1903,2839
"Hordeum jubatum",1903,2839
"Orbicula deformata",1903,2839
"Atriplex patula",1903,2839
"Lonchodomas halli",1903,2839
"Sphaerexochus parvus",1903,2839
"Carex aestivalis",1903,2839
"Ondatra zibethicus",1903,2839
"Onchometopus obtusus",1903,2839
"Crataegus lucorum",1903,2839
"Rafinesquina champlainensis",1903,2839
"Crataegus kennedyi",1903,2839
"Aneura pinguis",1903,2839
"Crataegus irrasa",1903,2839
"Dicranum drummondii",1903,2839
"Tamiasciurus hudsonicus",1903,2839
"Chiloscyphus polyanthos",1903,2839
"Dryopteris goldieana",1903,2839
"Crataegus ideae",1903,2839
"Dicranoweisia crispula",1903,2839
"Pycnanthemum setosum",1903,2839
"Arceuthobium pusillum",1903,2839
"Crataegus haemocarpa",1903,2839
"Collinsonia canadensis",1903,2839
"Crataegus haemacarpa",1903,2839
"Ambonychia curvata",1903,2839
"Porella pinnata",1903,2839
"Cololejeunea biddlecomiae",1903,2839
"Stenopareia globosus",1903,2839
"Geothlypis formosa",1903,2839
"Anthoceros agrestis",1903,2839
"Crataegus fusca",1903,2839
"Murchisonia perangulata",1903,2839
"Camerella varians",1903,2839
"Jungermannia atrovirens",1903,2839
"Amelanchier erecta",1903,2839
"Camerella longirostris",1903,2839
"Amelanchier stolonifera",1903,2839
"Crania prona",1903,2839
"Conocardium beecheri",1903,2839
"Amelanchier utahensis",1903,2839
"Viola nephrophylla",1903,2839
"Notothylas orbicularis",1903,2839
"Asclepias solanoana",1903,2839
"Boechera divaricarpa",1903,2839
"Asterella tenella",1903,2839
"Solenostoma gracillimum",1903,2839
"Lophoziopsis excisa",1903,2839
"Lindbergia brachyptera",1903,2839
"Schmidtella crassimarginata",1903,2839
"Batostoma campensis",1903,2839
"Failleana limbata",1903,2839
"Frullania brittoniae",1903,2839
"Rhynchospora glomerata",1903,2839
"Rhinotropis lindheimeri",1903,2839
"Primitia latimarginata",1903,2839
"Dysphania ambrosioides",1903,2839
"Subulites prolongata",1903,2839
"Riccardia latifrons",1903,2839
"Riccardia multifida",1903,2839
"Desmodium obtusum",1903,2839
"Galium boreale",1903,2839
"Crataegus iracunda",1903,2839
"Bumastus indeterminatus",1903,2839
"Pallavicinia lyellii",1904,2871
"Sematophyllum marylandicum",1904,2871
"Sterna hirundo",1904,2871
"Festuca filiformis",1904,2871
"Solenostoma obscurum",1904,2871
"Cyrto-hypnum pygmaeum",1904,2871
"Convallaria majalis",1904,2871
"Sherardia arvensis",1904,2871
"Scirpus georgianus",1904,2871
"Schoenoplectus heterochaetus",1904,2871
"Fossombronia wondraczekii",1904,2871
"Diplophyllum taxifolium",1904,2871
"Bombus affinis",1904,2871
"Crossocalyx hellerianus",1904,2871
"Euptoieta claudia",1904,2871
"Glaucomys sabrinus",1904,2871
"Gentiana andrewsii",1904,2871
"Lilium lancifolium",1904,2871
"Viola porteriana",1904,2871
"Schoenoplectus acutus",1904,2871
"Crataegus ascendens",1904,2871
"Lophozia guttulata",1904,2871
"Oreoweisia torquescens",1904,2871
"Campylophyllum hispidulum",1904,2871
"Piophila subdolus",1904,2871
"Platanthera blephariglottis",1904,2871
"Empidonax virescens",1904,2871
"Procyon lotor",1904,2871
"Rubus pensilvanicus",1904,2871
"Chenopodium betaceum",1904,2871
"Hygrohypnum ochraceum",1904,2871
"Phegopteris excelsior",1904,2871
"Sphagnum subtile",1905,2886
"Rissa tridactyla",1905,2886
"Oenothera laciniata",1905,2886
"Lactarius vellereus",1905,2886
"Prunus persica",1905,2886
"Bucephala islandica",1905,2886
"Viola subaffinis",1905,2886
"Strix varia",1905,2886
"Prunus domestica",1905,2886
"Viola filicetorum",1905,2886
"Uria aalge",1905,2886
"Diphasiastrum sabinifolium",1905,2886
"Megachile inermis",1905,2886
"Malva trimestris",1905,2886
"Dolichopeza venosa",1905,2886
"Lactarius turpis",1906,2984
"Botrydium granulatum",1906,2984
"Dryocopus pileatus",1906,2984
"Lentinellus cochleatus",1906,2984
"Schistidium agassizii",1906,2984
"Armillaria mellea",1906,2984
"Lepidium sativum",1906,2984
"Rhabdoweisia fugax",1906,2984
"Boletus miniato-olivaceus",1906,2984
"Boletus edulis",1906,2984
"Pipunculus nigripes",1906,2984
"Beris luteipes",1906,2984
"Leptodora kindti",1906,2984
"Sarmentypnum exannulatum",1906,2984
"Rhodofomes roseus",1906,2984
"Marasmius strictipes",1906,2984
"Lethe eurydice",1906,2984
"Rhytidiadelphus subpinnatus",1906,2984
"Pipunculus viduus",1906,2984
"Phaeolepiota aurea",1906,2984
"Russula adusta",1906,2984
