"species","year","cum_species"
"Circaea alpina",1857,362
"Circaea canadensis",1857,362
"Persicaria amphibia",1857,362
"Acer pensylvanicum",1857,362
"Pilea pumila",1857,362
"Platanthera dilatata",1857,362
"Persicaria orientalis",1857,362
"Panicum acuminatum",1857,362
"Platanthera psycodes",1857,362
"Persicaria sagittata",1857,362
"Celastrus scandens",1857,362
"Clematis occidentalis",1857,362
"Packera aurea",1857,362
"Acer saccharinum",1857,362
"Pogonia ophioglossoides",1857,362
"Acer spicatum",1857,362
"Osmundastrum cinnamomeum",1857,362
"Osmunda regalis",1857,362
"Osmorhiza claytonii",1857,362
"Carex vulpinoidea",1857,362
"Fraxinus americana",1857,362
"Carex utriculata",1857,362
"Carex swanii",1857,362
"Carex schweinitzii",1857,362
"Carex scabrata",1857,362
"Carex rosea",1857,362
"Carex retrorsa",1857,362
"Carex projecta",1857,362
"Carex plantaginea",1857,362
"Carex pallescens",1857,362
"Carex lurida",1857,362
"Galearis spectabilis",1857,362
"Carex intumescens",1857,362
"Carex hitchcockiana",1857,362
"Carex flava",1857,362
"Carex deweyana",1857,362
"Carex debilis",1857,362
"Carex crawfordii",1857,362
"Carex cephaloidea",1857,362
"Polygonum erectum",1857,362
"Carex canescens",1857,362
"Carex bromoides",1857,362
"Carex aurea",1857,362
"Carex arctata",1857,362
"Carex appalachica",1857,362
"Carex albursina",1857,362
"Carex albicans",1857,362
"Polypodium virginianum",1857,362
"Cardamine pensylvanica",1857,362
"Oenothera perennis",1857,362
"Cardamine diphylla",1857,362
"Viola pubescens",1857,362
"Capsella bursa-pastoris",1857,362
"Gentianopsis crinita",1857,362
"Portulaca oleracea",1857,362
"Comptonia peregrina",1857,362
"Geranium bicknellii",1857,362
"Camelina sativa",1857,362
"Conium maculatum",1857,362
"Caltha palustris",1857,362
"Calogaya pusilla",1857,362
"Cornus alternifolia",1857,362
"Pteridium aquilinum",1857,362
"Cornus sericea",1857,362
"Corylus cornuta",1857,362
"Viburnum lentago",1857,362
"Viburnum dentatum",1857,362
"Viburnum acerifolium",1857,362
"Monotropa uniflora",1857,362
"Pyrola elliptica",1857,362
"Brassica nigra",1857,362
"Cryptotaenia canadensis",1857,362
"Actaea pachypoda",1857,362
"Mitella diphylla",1857,362
"Actaea rubra",1857,362
"Micranthes virginiensis",1857,362
"Micranthes pensylvanica",1857,362
"Ranunculus acris",1857,362
"Botrypus virginianus",1857,362
"Ranunculus pensylvanicus",1857,362
"Ranunculus recurvatus",1857,362
"Raphanus raphanistrum",1857,362
"Melilotus officinalis",1857,362
"Cynoglossum officinale",1857,362
"Adiantum pedatum",1857,362
"Cypripedium acaule",1857,362
"Cypripedium reginae",1857,362
"Rhizocarpon geographicum",1857,362
"Boehmeria cylindrica",1857,362
"Rhododendron viscosum",1857,362
"Rhus typhina",1857,362
"Vaccinium macrocarpum",1857,362
"Betula papyrifera",1857,362
"Malva neglecta",1857,362
"Betula lenta",1857,362
"Daucus carota",1857,362
"Lysimachia borealis",1857,362
"Dendrolycopodium dendroideum",1857,362
"Dennstaedtia punctilobula",1857,362
"Rumex acetosella",1857,362
"Rumex crispus",1857,362
"Rumex obtusifolius",1857,362
"Ludwigia palustris",1857,362
"Barbarea vulgaris",1857,362
"Lithospermum officinale",1857,362
"Liparis loeselii",1857,362
"Fagopyrum esculentum",1857,362
"Lilium canadense",1857,362
"Digitaria ischaemum",1857,362
"Salix bebbiana",1857,362
"Graphis scripta",1857,362
"Sambucus canadensis",1857,362
"Sambucus racemosa",1857,362
"Dirca palustris",1857,362
"Asclepias incarnata",1857,362
"Asarum canadense",1857,362
"Gymnocarpium dryopteris",1857,362
"Doellingeria umbellata",1857,362
"Draba arabisans",1857,362
"Euthamia graminifolia",1857,362
"Hackelia virginiana",1857,362
"Arisaema triphyllum",1857,362
"Drosera rotundifolia",1857,362
"Dryopteris intermedia",1857,362
"Dryopteris marginalis",1857,362
"Aralia racemosa",1857,362
"Aralia nudicaulis",1857,362
"Arabis pycnocarpa",1857,362
"Aquilegia canadensis",1857,362
"Aquila chrysaetos",1857,362
"Apocynum androsaemifolium",1857,362
"Sisymbrium officinale",1857,362
"Laportea canadensis",1857,362
"Lactuca floridana",1857,362
"Sorghastrum nutans",1857,362
"Turritis glabra",1857,362
"Angelica atropurpurea",1857,362
"Acalypha virginica",1857,362
"Andropogon gerardii",1857,362
"Kalmia polifolia",1857,362
"Juncus dudleyi",1857,362
"Spiranthes cernua",1857,362
"Juncus bufonius",1857,362
"Spiranthes ochroleuca",1857,362
"Inula helenium",1857,362
"Trillium erectum",1857,362
"Impatiens pallida",1857,362
"Trifolium repens",1857,362
"Trifolium pratense",1857,362
"Impatiens capensis",1857,362
"Ilex mucronata",1857,362
"Trifolium campestre",1857,362
"Trifolium arvense",1857,362
"Hypopitys monotropa",1857,362
"Trichophorum alpinum",1857,362
"Thalictrum dioicum",1857,362
"Thalictrum pubescens",1857,362
"Hydrophyllum virginianum",1857,362
"Humulus lupulus",1857,362
"Hieracium paniculatum",1857,362
"Trapeliopsis granulosa",1857,362
"Toxicodendron rydbergii",1857,362
"Agrostis verticillata",1857,362
"Agrostis hyemalis",1857,362
"Thelypteris palustris",1857,362
"Allium tricoccum",1857,362
"Hepatica nobilis",1857,362
"Tiarella cordifolia",1857,362
"Schoenoplectiella purshiana",1858,367
"Brachythecium laetum",1858,367
"Necturus maculosus",1858,367
"Potamogeton perfoliatus",1858,367
"Platydictya subtilis",1858,367
"Nitella microcarpa",1859,372
"Fissidens bryoides",1859,372
"Nitella tenuissima",1859,372
"Carex argyrantha",1859,372
"Carex stipata",1859,372
"Symplocarpus foetidus",1860,374
"Brachythecium velutinum",1860,374
"Ambloplites rupestris",1861,376
"Perca flavescens",1861,376
"Sutorius eximius",1862,379
"Hiodon tergisus",1862,379
"Suillus serotinus",1862,379
"Semotilus corporalis",1863,403
"Sander vitreus",1863,403
"Notropis hudsonius",1863,403
"Fundulus diaphanus",1863,403
"Hybognathus regius",1863,403
"Aureoboletus auriporus",1863,403
"Pimephales notatus",1863,403
"Heterocladium dimorphum",1863,403
