"species","year","cum_species"
"Polygonum erectum",1857,356
"Viola pubescens",1857,356
"Persicaria sagittata",1857,356
"Comptonia peregrina",1857,356
"Pilea pumila",1857,356
"Lysimachia borealis",1857,356
"Carex hitchcockiana",1857,356
"Dryopteris intermedia",1857,356
"Betula papyrifera",1857,356
"Carex appalachica",1857,356
"Thelypteris palustris",1857,356
"Carex arctata",1857,356
"Pogonia ophioglossoides",1857,356
"Asarum canadense",1857,356
"Viburnum dentatum",1857,356
"Carex rosea",1857,356
"Gentianopsis crinita",1857,356
"Carex plantaginea",1857,356
"Hepatica nobilis",1857,356
"Aquila chrysaetos",1857,356
"Pastinaca sativa",1857,356
"Lactuca floridana",1857,356
"Acer spicatum",1857,356
"Aralia nudicaulis",1857,356
"Carex vulpinoidea",1857,356
"Monotropa uniflora",1857,356
"Micranthes pensylvanica",1857,356
"Trifolium campestre",1857,356
"Rhododendron viscosum",1857,356
"Calogaya pusilla",1857,356
"Sambucus canadensis",1857,356
"Juncus bufonius",1857,356
"Thalictrum pubescens",1857,356
"Juncus dudleyi",1857,356
"Actaea pachypoda",1857,356
"Carex scabrata",1857,356
"Sambucus racemosa",1857,356
"Ilex mucronata",1857,356
"Circaea canadensis",1857,356
"Viburnum lentago",1857,356
"Trifolium arvense",1857,356
"Actaea rubra",1857,356
"Carex schweinitzii",1857,356
"Inula helenium",1857,356
"Hackelia virginiana",1857,356
"Persicaria amphibia",1857,356
"Hypopitys monotropa",1857,356
"Agrostis hyemalis",1857,356
"Fraxinus americana",1857,356
"Corylus cornuta",1857,356
"Adiantum pedatum",1857,356
"Geranium bicknellii",1857,356
"Platanthera psycodes",1857,356
"Arabis pycnocarpa",1857,356
"Malva neglecta",1857,356
"Spiranthes cernua",1857,356
"Sisymbrium officinale",1857,356
"Pteridium aquilinum",1857,356
"Agrostis alba",1857,356
"Boehmeria cylindrica",1857,356
"Rhus typhina",1857,356
"Micranthes virginiensis",1857,356
"Hydrophyllum virginianum",1857,356
"Agrostis scabra",1857,356
"Spiranthes ochroleuca",1857,356
"Fagopyrum esculentum",1857,356
"Cornus sericea",1857,356
"Aquilegia canadensis",1857,356
"Cardamine pensylvanica",1857,356
"Cardamine diphylla",1857,356
"Ranunculus acris",1857,356
"Hieracium paniculatum",1857,356
"Carex utriculata",1857,356
"Drosera rotundifolia",1857,356
"Arisaema triphyllum",1857,356
"Impatiens pallida",1857,356
"Capsella bursa-pastoris",1857,356
"Gymnocarpium dryopteris",1857,356
"Apocynum androsaemifolium",1857,356
"Rumex acetosella",1857,356
"Draba arabisans",1857,356
"Brassica nigra",1857,356
"Trifolium repens",1857,356
"Penthorum sedoides",1857,356
"Cypripedium acaule",1857,356
"Lilium canadense",1857,356
"Carex swanii",1857,356
"Andropogon gerardii",1857,356
"Raphanus raphanistrum",1857,356
"Carex flava",1857,356
"Panicum acuminatum",1857,356
"Dendrolycopodium dendroideum",1857,356
"Galearis spectabilis",1857,356
"Turritis glabra",1857,356
"Chenopodium album",1857,356
"Sorghastrum nutans",1857,356
"Asclepias incarnata",1857,356
"Dirca palustris",1857,356
"Carex intumescens",1857,356
"Carex aurea",1857,356
"Daucus carota",1857,356
"Acalypha virginica",1857,356
"Carex crawfordii",1857,356
"Trifolium pratense",1857,356
"Conium maculatum",1857,356
"Ranunculus pensylvanicus",1857,356
"Carex canescens",1857,356
"Tiarella cordifolia",1857,356
"Carex lurida",1857,356
"Angelica atropurpurea",1857,356
"Carex albicans",1857,356
"Acer pensylvanicum",1857,356
"Acer saccharinum",1857,356
"Carex albursina",1857,356
"Rumex obtusifolius",1857,356
"Cornus alternifolia",1857,356
"Persicaria orientalis",1857,356
"Packera aurea",1857,356
"Trapeliopsis granulosa",1857,356
"Polypodium virginianum",1857,356
"Kalmia polifolia",1857,356
"Clematis occidentalis",1857,356
"Osmorhiza claytonii",1857,356
"Trillium erectum",1857,356
"Camelina sativa",1857,356
"Liparis loeselii",1857,356
"Circaea alpina",1857,356
"Carex projecta",1857,356
"Carex cephaloidea",1857,356
"Barbarea vulgaris",1857,356
"Dryopteris marginalis",1857,356
"Agrostis verticillata",1857,356
"Impatiens capensis",1857,356
"Vaccinium macrocarpum",1857,356
"Carex retrorsa",1857,356
"Melilotus officinalis",1857,356
"Allium tricoccum",1857,356
"Rumex crispus",1857,356
"Botrypus virginianus",1857,356
"Platanthera dilatata",1857,356
"Cryptotaenia canadensis",1857,356
"Carex deweyana",1857,356
"Carex pallescens",1857,356
"Toxicodendron rydbergii",1857,356
"Doellingeria umbellata",1857,356
"Thalictrum dioicum",1857,356
"Aralia racemosa",1857,356
"Lithospermum officinale",1857,356
"Celastrus scandens",1857,356
"Oenothera perennis",1857,356
"Salix bebbiana",1857,356
"Cicuta maculata",1857,356
"Digitaria ischaemum",1857,356
"Betula lenta",1857,356
"Osmunda regalis",1857,356
"Ranunculus recurvatus",1857,356
"Trichophorum alpinum",1857,356
"Carex bromoides",1857,356
"Euthamia graminifolia",1857,356
"Dennstaedtia punctilobula",1857,356
"Graphis scripta",1857,356
"Mitella diphylla",1857,356
"Caltha palustris",1857,356
"Potamogeton perfoliatus",1858,361
"Brachythecium laetum",1858,361
"Platydictya subtilis",1858,361
"Schoenoplectiella purshiana",1858,361
"Necturus maculosus",1858,361
"Fissidens bryoides",1859,366
"Nitella microcarpa",1859,366
"Carex stipata",1859,366
"Nitella tenuissima",1859,366
"Carex argyrantha",1859,366
"Brachythecium velutinum",1860,368
"Symplocarpus foetidus",1860,368
"Ambloplites rupestris",1861,370
"Perca flavescens",1861,370
"Hiodon tergisus",1862,373
"Suillus serotinus",1862,373
"Sutorius eximius",1862,373
"Placobdella rugosa",1863,398
"Chelydra serpentina",1863,398
"Ameiurus nebulosus",1863,398
"Aureoboletus auriporus",1863,398
"Sander vitreus",1863,398
"Pomoxis nigromaculatus",1863,398
"Semotilus corporalis",1863,398
"Nephromopsis nivalis",1863,398
"Notropis hudsonius",1863,398
"Cyprinella spiloptera",1863,398
"Cyprinella whipplei",1863,398
"Notemigonus crysoleucas",1863,398
"Esox niger",1863,398
"Notropis atherinoides",1863,398
"Tachycineta bicolor",1863,398
"Pimephales notatus",1863,398
"Dryophytes versicolor",1863,398
"Hybognathus regius",1863,398
"Lepomis gibbosus",1863,398
"Lepisosteus osseus",1863,398
"Lymnaea stagnalis",1863,398
"Fundulus diaphanus",1863,398
"Etheostoma olmstedi",1863,398
"Heterocladium dimorphum",1863,398
"Physella ancillaria",1863,398
"Austroboletus gracilis",1864,400
"Cystopteris bulbifera",1864,400
"Tympanis picastra",1865,403
"Huperzia lucidula",1865,403
"Clavaria cristata",1865,403
"Aureoboletus innixus",1866,410
"Persicaria pensylvanica",1866,410
"Juncus nodosus",1866,410
"Nitella flexilis",1866,410
"Usnea angulata",1866,410
"Chara globularis",1866,410
"Chara braunii",1866,410
"Sisyrinchium montanum",1867,416
"Xanthoconium affine",1867,416
"Solanum dulcamara",1867,416
"Vireo flavifrons",1867,416
"Fallopia cilinode",1867,416
"Tylopilus ferrugineus",1867,416
"Uroblaniulus canadensis",1868,421
"Carex grisea",1868,421
"Rudiloria trimaculata",1868,421
"Lampsilis radiata",1868,421
"Carex amphibola",1868,421
"Carex dacica",1869,426
"Spinulum annotinum",1869,426
"Cambarus bartonii",1869,426
"Abies balsamea",1869,426
"Boletus luteus",1869,426
"Dasiphora fruticosa",1870,440
"Woodsia glabella",1870,440
"Thuja occidentalis",1870,440
"Streptopus amplexifolius",1870,440
"Storeria occipitomaculata",1870,440
"Solidago uliginosa",1870,440
"Lobelia kalmii",1870,440
"Polystichum braunii",1870,440
"Carex tuckermanii",1870,440
"Potamogeton illinoensis",1870,440
